ministry,budget,revenue,capital,year
Ministry of Parliamentary Affairs,68.45,61.18,7.27,2024
"Ministry of Personnel, Public Grievances and Pensions",2662.01,2507.22,154.79,2024
"Ministry of Personnel, Public Grievances and Pensions",2607.45,2454.37,153.08,2024
Central Vigilance Commission,54.56,52.85,1.71,2024
Ministry of Petroleum and Natural Gas,30443.22,30204.77,238.45,2024
Ministry of Petroleum and Natural Gas,30443.22,30204.77,238.45,2024
Ministry of Planning,1232.16,1203.38,28.78,2024
Ministry of Planning,1232.16,1203.38,28.78,2024
"Ministry of Ports, Shipping and Waterways",5164.8,3964.88,1199.92,2024
"Ministry of Ports, Shipping and Waterways",5164.8,3964.88,1199.92,2024
Ministry of Power,29996.85,29635.83,361.02,2024
Ministry of Power,29996.85,29635.83,361.02,2024
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",2083.83,2015.07,68.76,2024
"Staff, Household and Allowances of the President",137.2,133.1,4.1,2024
Lok Sabha,1009.0,978.17,30.83,2024
Rajya Sabha,482.99,471.32,11.67,2024
Secretariat of the Vice-President,11.7,11.39,0.31,2024
Union Public Service Commission,442.94,421.09,21.85,2024
Ministry of Railways,281377.32,3547.32,277830,2024
Ministry of Railways,281377.32,3547.32,277830,2024
Ministry of Road Transport and Highways,309875.3,15707.85,294167.45,2024
Ministry of Road Transport and Highways,309875.3,15707.85,294167.45,2024
Ministry of Rural Development,197023.14,197017.51,5.63,2024
Department of Rural Development,194368.81,194364.18,4.63,2024
Department of Land Resources,2654.33,2653.33,1,2024
Ministry of Science and Technology,38260.94,18170.23,20090.71,2024
Department of Science and Technology,28049.32,7963.94,20085.38,2024
Department of Biotechnology,3446.0,3446,0,2024
Department of Scientific and Industrial Research,6765.62,6760.29,5.33,2024
Ministry of Skill Development and Entrepreneurship,9885.8,9759.51,126.29,2024
Ministry of Skill Development and Entrepreneurship,9885.8,9759.51,126.29,2024
Ministry of Social Justice and Empowerment,15357.31,15346.37,10.94,2024
Department of Social Justice and Empowerment,13687.59,13678.02,9.57,2024
Department of Empowerment of Persons with Disabilities,1669.72,1668.35,1.37,2024
Department of Space,13705.63,7329.71,6375.92,2024
Department of Space,13705.63,7329.71,6375.92,2024
Ministry of Statistics and Programme Implementation,5502.89,5457.75,45.14,2024
Ministry of Statistics and Programme Implementation,5502.89,5457.75,45.14,2024
Ministry of Steel,443.18,439.84,3.34,2024
Ministry of Steel,443.18,439.84,3.34,2024
Ministry of Textiles,5279.01,5269.52,9.49,2024
Ministry of Textiles,5279.01,5269.52,9.49,2024
Ministry of Tourism,2438.4,2433.87,4.53,2024
Ministry of Tourism,2438.4,2433.87,4.53,2024
Ministry of Tribal Affairs,15421.97,15389.54,32.43,2024
Ministry of Tribal Affairs,15421.97,15389.54,32.43,2024
Ministry of Women and Child Development,28183.06,28177.42,5.64,2024
Ministry of Women and Child Development,28183.06,28177.42,5.64,2024
Ministry of Youth Affairs and Sports,4479.88,4461.51,18.37,2024
Ministry of Youth Affairs and Sports,4479.88,4461.51,18.37,2024
